Species
Serranus cabrilla
Serranus hepatus
Serranus scriba
Serrivomer lanceolatoides
Siganus luridus
Siganus rivulatus
Silhouettea aegyptia
Sillago suezensis
Solea aegyptiaca
Solea senegalensis
Solea solea
Somniosus rostratus
Sorsogona prionota
Sparisoma cretense
Sparus aurata
Speleogobius trigloides
Sphoeroides marmoratus
Sphoeroides pachygaster
Sphyraena chrysotaenia
Sphyraena flavicauda
Sphyraena obtusata
Sphyraena pinguis
Sphyraena sphyraena
Sphyraena viridensis
Sphyrna lewini
Sphyrna mokarran
Sphyrna tudes
Sphyrna zygaena
Spicara flexuosum
Spicara maena
Spicara smaris
Spondyliosoma cantharus
Spratelloides delicatulus
Sprattus sprattus
Squalus acanthias
Squalus blainville
Squalus megalops
Squatina aculeata
Squatina oculata
Squatina squatina
Stephanolepis diaspros
Stolephorus indicus
Stolephorus insularis
Stomias boa
Stromateus fiatola
Sudis hyalina
Symbolophorus veranyi
Symphodus bailloni
Symphodus cinereus
Symphodus doderleini
Symphodus mediterraneus
Symphodus melops
Symphodus ocellatus
Symphodus roissali
Symphodus rostratus
Symphodus tinca
Symphodus trutta
Symphurus ligulatus
Symphurus nigrescens
Synagrops japonicus
Synanceia verrucosa
Synapturichthys kleinii
Synchiropus phaeton
Synchiropus sechellensis
Syngnathus abaster
Syngnathus acus
Syngnathus phlegon
Syngnathus rostellatus
Syngnathus taenionotus
Syngnathus tenuirostris
Syngnathus typhle
Synodus saurus
Taeniurops grabatus
Taurulus bubalis
Terapon jarbua
Terapon puta
Terapon theraps
Tetragonurus cuvieri
Tetrapturus belone
Tetrapturus georgii
Tetronarce nobiliana
Thalassoma pavo
Thorogobius ephippiatus
Thorogobius macrolepis
Thunnus alalunga
Thunnus albacares
Thunnus obesus
Thunnus thynnus
Thymallus thymallus
Torpedo alexandrinsis
Torpedo marmorata
Torpedo sinuspersici
Torpedo torpedo
Torquigener flavimaculosus
Trachinotus ovatus
Trachinus araneus
Trachinus draco
Trachinus radiatus
Trachipterus arcticus
Trachipterus trachypterus
Trachurus mediterraneus
Trachurus picturatus
Trachurus trachurus
Trachyrincus scabrus
Trachyscorpia echinata
Trichiurus lepturus
Tridentiger trigonocephalus
Trigla lyra
Tripterygion delaisi
Tripterygion melanurus
Tripterygion tripteronotum
Trisopterus capelanus
Trisopterus luscus
Trisopterus minutus
Trypauchen vagina
Tylerius spinosissimus
Tylosurus acus
Tylosurus choram
Tylosurus imperialis
Umbrina canariensis
Umbrina cirrosa
Umbrina ronchus
Upeneus moluccensis
Upeneus pori
Uranoscopus scaber
Urogymnus asperrimus
Valenciennellus tripunctulatus
Vanderhorstia mertensi
Vanneaugobius dollfusi
Vanneaugobius pruvoti
Vinciguerria attenuata
Vinciguerria poweriae
Xiphias gladius
Xyrichtys novacula
Zebrus pallaoroi
Zebrus zebrus
Zenopsis conchifer
Zeugopterus punctatus
Zeugopterus regius
Zeus faber
Zu cristatus
